Date;Price;Open;High;Low;Vol.;Change %
Dec 30, 2019;3045.87;3051.41;3060.20;3042.34;-;-0.15%
Dec 27, 2019;3050.47;3029.12;3054.03;3029.12;-;0.62%
Dec 26, 2019;3031.67;3025.58;3034.63;3021.62;-;0.03%
Dec 25, 2019;3030.84;3032.41;3036.81;3024.89;-;0.01%
Dec 24, 2019;3030.59;3035.86;3039.92;3025.92;-;-0.11%
Dec 23, 2019;3033.81;3009.89;3033.81;3009.07;-;0.59%
Dec 20, 2019;3015.93;3015.64;3021.05;3004.21;-;0.25%
Dec 19, 2019;3008.39;3012.29;3027.88;2998.05;-;-0.51%
Dec 18, 2019;3023.92;3011.37;3023.92;3004.27;-;0.35%
Dec 17, 2019;3013.29;3012.49;3019.95;3005.61;-;0.24%
Dec 16, 2019;3006.16;3001.42;3012.21;2994.44;-;0.32%
Dec 13, 2019;2996.63;2990.92;3000.10;2984.92;-;0.46%
Dec 12, 2019;2982.86;2966.24;2996.82;2965.10;-;0.96%
Dec 11, 2019;2954.40;2932.43;2959.12;2932.43;-;0.75%
Dec 10, 2019;2932.40;2943.03;2948.94;2920.93;-;-0.43%
Dec 09, 2019;2945.03;2932.08;2947.68;2926.10;-;0.56%
Dec 06, 2019;2928.76;2900.78;2928.76;2897.56;-;1.02%
Dec 05, 2019;2899.29;2903.50;2909.59;2882.80;-;-0.05%
Dec 04, 2019;2900.66;2887.39;2909.11;2875.50;-;0.60%
Dec 03, 2019;2883.48;2917.46;2922.81;2882.65;-;-1.29%
Dec 02, 2019;2921.18;2937.69;2958.84;2920.33;-;-0.48%
Nov 29, 2019;2935.37;2925.76;2936.24;2911.56;-;0.27%
Nov 28, 2019;2927.57;2926.30;2931.48;2911.80;-;-0.05%
Nov 27, 2019;2929.05;2932.25;2945.60;2922.48;-;-0.05%
Nov 26, 2019;2930.62;2954.84;2963.92;2922.89;-;-0.84%
Nov 25, 2019;2955.32;2953.11;2959.76;2945.33;-;0.26%
Nov 22, 2019;2947.68;2939.36;2968.47;2935.21;-;0.17%
Nov 21, 2019;2942.60;2940.78;2947.57;2930.68;-;0.21%
Nov 20, 2019;2936.47;2935.64;2948.89;2914.95;-;-0.18%
Nov 19, 2019;2941.69;2928.10;2942.49;2923.10;-;0.59%
Nov 18, 2019;2924.48;2947.39;2956.59;2914.25;-;-0.35%
Nov 15, 2019;2934.82;2925.31;2938.15;2914.05;-;0.42%
Nov 14, 2019;2922.45;2938.60;2948.98;2902.91;-;-0.39%
